blind,task,session,sliceOrder
010,language,A,interleaved
012,language,A,interleaved
014,language,A,interleaved
020,language,A,interleaved
021,language,A,interleaved
022,language,A,interleaved
023,language,A,interleaved
025,language,A,interleaved
027,language,A,interleaved
028,language,A,default
029,language,A,default
031,language,A,default
033,language,A,default
035,language,A,default
036,language,A,default
038,language,A,default
039,language,A,default
041,language,A,default
044,language,A,default
046,language,A,default
049,language,A,default
052,language,A,ascending
053,language,A,ascending
055,language,A,ascending
056,language,A,ascending
058,language,A,ascending
062,language,A,ascending
065,language,A,ascending
066,language,A,ascending
067,language,A,ascending
070,language,A,ascending
074,language,A,ascending
076,language,A,ascending
079,language,A,ascending
010,motor,B,interleaved
012,motor,B,interleaved
014,motor,B,interleaved
020,motor,B,interleaved
021,motor,B,interleaved
022,motor,B,default
023,motor,B,interleaved
025,motor,B,interleaved
027,motor,B,default
028,motor,B,default
029,motor,B,default
031,motor,B,default
033,motor,B,default
036,motor,B,default
038,motor,B,default
039,motor,B,default
041,motor,B,default
044,motor,B,default
046,motor,B,default
052,motor,B,ascending
053,motor,B,ascending
056,motor,B,ascending
058,motor,B,ascending
062,motor,B,ascending
065,motor,B,ascending
066,motor,B,ascending
067,motor,B,ascending
070,motor,B,ascending
074,motor,B,ascending
076,motor,B,ascending
079,motor,B,ascending
