
ORIENTATION  TILT     VoxRL  VoxAP  VoxIS  VoxSizeRL  VoxSizeAP  VoxSizeSI  FILE
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.001.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.002.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.003.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.005.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.007.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.008.cowat.nii
RAI          Plumb    80     80     37     3.000mm    3.000mm    4.000mm    COG.C.009.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.010.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.012.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.013.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.014.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.015.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.016.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.017.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.020.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.021.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.022.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.023.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.025.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.027.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.028.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.029.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.031.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.033.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.035.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.036.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.038.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.039.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.041.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.044.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.045.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.046.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.047.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.049.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.052.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.053.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.054.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.055.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.056.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.058.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.059.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.062.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.063.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.065.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.066.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.067.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.070.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.073.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.074.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.075.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.076.cowat.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.079.cowat.nii
