
ORIENTATION  TILT     VoxRL  VoxAP  VoxIS  VoxSizeRL  VoxSizeAP  VoxSizeSI  FILE
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.009.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.010.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.012.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.013.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.014.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.015.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.016.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.017.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.018.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.020.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.021.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.022.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.023.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.025.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.027.motor.nii
RAI          Plumb    80     80     37     3.000mm    3.000mm    4.000mm    COG.C.028.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.029.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.031.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.032.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.033.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.036.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.038.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.039.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.041.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.043.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.044.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.045.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.046.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.047.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.048.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.050.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.052.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.053.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.054.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.056.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.058.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.062.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.063.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.065.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.066.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.067.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.070.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.072.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.073.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.074.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.075.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.076.motor.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.079.motor.nii
