
ORIENTATION  TILT     VoxRL  VoxAP  VoxIS  VoxSizeRL  VoxSizeAP  VoxSizeSI  FILE
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.001.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.002.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.003.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.005.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.007.restA.nii
RAI          Plumb    80     80     37     3.000mm    3.000mm    4.000mm    COG.C.009.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.010.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.012.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.013.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.014.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.015.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.016.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.017.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.020.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.021.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.022.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.023.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.025.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.027.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.028.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.029.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.031.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.033.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.035.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.036.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.038.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.039.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.041.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.044.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.045.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.046.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.047.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    4.000mm    COG.C.049.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.052.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.053.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.054.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.055.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.056.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.058.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.059.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.062.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.063.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.065.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.066.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.067.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.070.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.073.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.074.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.075.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.076.restA.nii
RAI          Oblique  80     80     37     3.000mm    3.000mm    3.000mm    COG.C.079.restA.nii
