
ORIENTATION  TILT   VoxRL  VoxAP  VoxIS  VoxSizeRL  VoxSizeAP  VoxSizeSI  FILE
ASL          Plumb  160    256    256    1.000mm    1.000mm    1.000mm    COG.C.001.anat.nii
ASL          Plumb  160    256    256    1.000mm    1.000mm    1.000mm    COG.C.002.anat.nii
ASL          Plumb  160    256    256    1.000mm    1.000mm    1.000mm    COG.C.003.anat.nii
ASL          Plumb  160    256    256    1.000mm    1.000mm    1.000mm    COG.C.005.anat.nii
ASL          Plumb  160    256    256    1.000mm    1.000mm    1.000mm    COG.C.007.anat.nii
ASL          Plumb  160    256    256    1.000mm    1.000mm    1.000mm    COG.C.008.anat.nii
ASL          Plumb  160    256    256    1.000mm    1.000mm    1.000mm    COG.C.009.anat.nii
ASL          Plumb  160    256    256    1.000mm    1.000mm    1.000mm    COG.C.010.anat.nii
ASL          Plumb  160    256    256    1.000mm    1.000mm    1.000mm    COG.C.012.anat.nii
ASL          Plumb  160    256    256    1.000mm    1.000mm    1.000mm    COG.C.013.anat.nii
ASL          Plumb  160    256    256    1.000mm    1.000mm    1.000mm    COG.C.014.anat.nii
ASL          Plumb  160    256    256    1.000mm    1.000mm    1.000mm    COG.C.015.anat.nii
ASL          Plumb  160    256    256    1.000mm    1.000mm    1.000mm    COG.C.016.anat.nii
ASL          Plumb  160    256    256    1.000mm    1.000mm    1.000mm    COG.C.017.anat.nii
ASL          Plumb  160    256    256    1.000mm    1.000mm    1.000mm    COG.C.020.anat.nii
ASL          Plumb  160    256    256    1.000mm    1.000mm    1.000mm    COG.C.021.anat.nii
ASL          Plumb  160    256    256    1.000mm    1.000mm    1.000mm    COG.C.022.anat.nii
ASL          Plumb  160    256    256    1.000mm    1.000mm    1.000mm    COG.C.023.anat.nii
ASL          Plumb  160    256    256    1.000mm    1.000mm    1.000mm    COG.C.025.anat.nii
ASL          Plumb  160    256    256    1.000mm    1.000mm    1.000mm    COG.C.027.anat.nii
ASL          Plumb  160    256    256    1.000mm    1.000mm    1.000mm    COG.C.028.anat.nii
ASL          Plumb  160    256    256    1.000mm    1.000mm    1.000mm    COG.C.029.anat.nii
ASL          Plumb  160    256    256    1.000mm    1.000mm    1.000mm    COG.C.031.anat.nii
ASL          Plumb  160    256    256    1.000mm    1.000mm    1.000mm    COG.C.033.anat.nii
ASL          Plumb  160    256    256    1.000mm    1.000mm    1.000mm    COG.C.035.anat.nii
ASL          Plumb  160    256    256    1.000mm    1.000mm    1.000mm    COG.C.036.anat.nii
ASL          Plumb  160    256    256    1.000mm    1.000mm    1.000mm    COG.C.038.anat.nii
ASL          Plumb  160    256    256    1.000mm    1.000mm    1.000mm    COG.C.039.anat.nii
ASL          Plumb  160    256    256    1.000mm    1.000mm    1.000mm    COG.C.041.anat.nii
ASL          Plumb  160    256    256    1.000mm    1.000mm    1.000mm    COG.C.044.anat.nii
ASL          Plumb  160    256    256    1.000mm    1.000mm    1.000mm    COG.C.045.anat.nii
ASL          Plumb  160    256    256    1.000mm    1.000mm    1.000mm    COG.C.046.anat.nii
ASL          Plumb  160    256    256    1.000mm    1.000mm    1.000mm    COG.C.047.anat.nii
ASL          Plumb  160    256    256    1.000mm    1.000mm    1.000mm    COG.C.049.anat.nii
ASL          Plumb  220    256    256    1.000mm    0.938mm    0.938mm    COG.C.052.anat.nii
ASL          Plumb  220    256    256    1.000mm    0.938mm    0.938mm    COG.C.053.anat.nii
ASL          Plumb  220    256    256    1.000mm    0.938mm    0.938mm    COG.C.054.anat.nii
ASL          Plumb  220    256    256    1.000mm    0.938mm    0.938mm    COG.C.055.anat.nii
ASL          Plumb  220    256    256    1.000mm    0.938mm    0.938mm    COG.C.056.anat.nii
ASL          Plumb  220    256    256    1.000mm    0.938mm    0.938mm    COG.C.058.anat.nii
ASL          Plumb  220    256    256    1.000mm    0.938mm    0.938mm    COG.C.059.anat.nii
ASL          Plumb  220    256    256    1.000mm    0.938mm    0.938mm    COG.C.062.anat.nii
ASL          Plumb  220    256    256    1.000mm    0.938mm    0.938mm    COG.C.063.anat.nii
ASL          Plumb  220    256    256    1.000mm    0.938mm    0.938mm    COG.C.065.anat.nii
ASL          Plumb  220    256    256    1.000mm    0.938mm    0.938mm    COG.C.066.anat.nii
ASL          Plumb  220    256    256    1.000mm    0.938mm    0.938mm    COG.C.067.anat.nii
ASL          Plumb  220    256    256    1.000mm    0.938mm    0.938mm    COG.C.070.anat.nii
ASL          Plumb  220    256    256    1.000mm    0.938mm    0.938mm    COG.C.073.anat.nii
ASL          Plumb  220    256    256    1.000mm    0.938mm    0.938mm    COG.C.074.anat.nii
ASL          Plumb  220    256    256    1.000mm    0.938mm    0.938mm    COG.C.075.anat.nii
ASL          Plumb  220    256    256    1.000mm    0.938mm    0.938mm    COG.C.076.anat.nii
ASL          Plumb  220    256    256    1.000mm    0.938mm    0.938mm    COG.C.079.anat.nii
